iter	Passed	Remaining
0	1	106
1	1	94
2	2	96
3	3	89
4	4	87
5	5	85
6	6	83
7	7	83
8	8	81
9	8	80
10	9	78
11	10	78
12	11	76
13	12	76
14	13	75
15	14	74
16	15	73
17	15	72
18	16	72
19	18	73
20	19	72
21	20	71
22	21	71
23	22	70
24	23	69
25	24	68
26	25	67
27	26	67
28	26	66
29	27	65
30	29	64
31	29	63
32	31	63
33	32	62
34	33	61
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	67	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	73	18
80	73	17
81	74	16
82	75	15
83	76	14
84	77	13
85	78	12
86	79	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
