iter	Passed	Remaining
0	134	134346
1	135	67724
2	137	45539
3	138	34432
4	141	28120
5	144	23991
6	146	20818
7	148	18420
8	149	16498
9	151	14957
10	152	13686
11	153	12633
12	154	11744
13	155	10984
14	158	10439
15	160	9850
16	161	9327
17	162	8871
18	163	8464
19	165	8092
20	166	7750
21	167	7442
22	168	7164
23	169	6907
24	172	6743
25	174	6519
26	175	6315
27	176	6127
28	177	5950
29	178	5782
30	179	5625
31	181	5480
32	182	5344
33	183	5215
34	185	5103
35	189	5071
36	190	4963
37	191	4860
38	193	4758
39	194	4664
40	195	4577
41	197	4494
42	198	4417
43	200	4345
44	205	4364
45	208	4332
46	210	4262
47	211	4197
48	213	4133
49	214	4070
50	215	4009
51	218	3979
52	219	3925
53	220	3870
54	222	3819
55	223	3768
56	224	3718
57	226	3671
58	227	3625
59	228	3581
60	229	3537
61	232	3513
62	233	3473
63	234	3431
64	235	3394
65	237	3358
66	238	3322
67	239	3287
68	241	3253
69	242	3219
70	243	3186
71	244	3153
72	245	3121
73	247	3098
74	249	3080
75	251	3053
76	252	3025
77	253	2998
78	254	2970
79	256	2944
80	257	2919
81	258	2895
82	259	2864
83	261	2853
84	262	2830
85	264	2808
86	265	2786
87	266	2765
88	268	2744
89	269	2723
90	270	2702
91	271	2683
92	273	2663
93	275	2655
94	277	2640
95	279	2628
96	280	2610
97	281	2592
98	282	2574
99	284	2556
100	285	2539
101	286	2522
102	287	2507
103	289	2490
104	290	2475
105	291	2462
106	293	2447
107	294	2434
108	296	2419
109	297	2404
110	298	2390
111	299	2376
112	301	2363
113	302	2349
114	305	2347
115	307	2340
116	308	2327
117	312	2335
118	313	2322
119	315	2310
120	316	2297
121	317	2283
122	319	2281
123	321	2270
124	322	2259
125	323	2247
126	325	2235
127	326	2226
128	329	2227
129	331	2216
130	332	2205
131	333	2193
132	336	2190
133	337	2179
134	338	2168
135	339	2157
136	340	2146
137	341	2135
138	343	2124
139	344	2114
140	345	2104
141	346	2092
142	347	2082
143	348	2073
144	350	2064
145	351	2054
146	352	2046
147	353	2037
148	355	2028
149	356	2019
150	357	2010
151	358	2002
152	360	1993
153	361	1984
154	362	1975
155	365	1975
156	366	1967
157	367	1959
158	368	1951
159	370	1943
160	370	1932
161	373	1934
162	375	1926
163	376	1918
164	377	1910
165	380	1911
166	381	1904
167	383	1897
168	384	1889
169	385	1883
170	386	1875
171	388	1869
172	389	1862
173	391	1858
174	394	1857
175	395	1853
176	397	1848
177	400	1850
178	401	1843
179	402	1835
180	404	1828
181	405	1822
182	406	1815
183	407	1808
184	409	1803
185	410	1797
186	412	1791
187	413	1784
188	414	1778
189	415	1772
190	417	1766
191	418	1760
192	419	1754
193	420	1747
194	422	1745
195	424	1740
196	425	1734
197	426	1728
198	427	1722
199	429	1716
200	430	1710
201	432	1710
202	434	1704
203	435	1698
204	436	1692
205	439	1692
206	440	1686
207	441	1681
208	442	1675
209	444	1670
210	445	1665
211	446	1659
212	447	1654
213	449	1649
214	450	1643
215	451	1638
216	455	1642
217	456	1636
218	457	1631
219	458	1626
220	460	1621
221	461	1616
222	462	1611
223	463	1606
224	465	1601
225	466	1596
226	468	1595
227	469	1591
228	471	1585
229	472	1581
230	473	1576
231	474	1571
232	475	1566
233	477	1562
234	478	1557
235	479	1552
236	480	1548
237	482	1543
238	484	1543
239	486	1539
240	487	1534
241	488	1530
242	489	1525
243	491	1521
244	492	1516
245	493	1512
246	494	1508
247	496	1505
248	500	1508
249	501	1505
250	503	1502
251	505	1500
252	506	1495
253	507	1491
254	509	1487
255	510	1482
256	511	1478
257	512	1474
258	513	1470
259	515	1465
260	516	1461
261	519	1462
262	520	1458
263	521	1453
264	522	1449
265	523	1445
266	525	1441
267	526	1437
268	528	1436
269	529	1432
270	531	1428
271	532	1424
272	533	1421
273	534	1417
274	536	1413
275	537	1409
276	538	1405
277	539	1401
278	540	1397
279	543	1397
280	544	1393
281	545	1390
282	547	1386
283	548	1382
284	549	1379
285	550	1375
286	552	1371
287	553	1367
288	554	1364
289	555	1361
290	558	1360
291	559	1357
292	562	1358
293	564	1355
294	565	1351
295	566	1347
296	567	1344
297	569	1341
298	570	1337
299	571	1334
300	574	1334
301	575	1330
302	577	1327
303	578	1324
304	579	1320
305	580	1317
306	582	1313
307	583	1310
308	584	1306
309	587	1307
310	589	1305
311	591	1303
312	593	1303
313	594	1299
314	596	1296
315	597	1293
316	598	1289
317	600	1286
318	602	1285
319	603	1283
320	605	1280
321	606	1277
322	607	1273
323	608	1270
324	610	1267
325	611	1264
326	612	1260
327	613	1257
328	614	1254
329	617	1254
330	618	1250
331	620	1247
332	621	1245
333	623	1242
334	624	1239
335	625	1236
336	626	1232
337	627	1229
338	629	1226
339	630	1224
340	633	1224
341	634	1221
342	636	1218
343	637	1215
344	638	1212
345	639	1209
346	641	1206
347	644	1206
348	645	1204
349	648	1203
350	649	1200
351	650	1197
352	651	1194
353	653	1191
354	654	1188
355	655	1185
356	656	1183
357	658	1180
358	659	1177
359	660	1174
360	663	1173
361	664	1170
362	665	1167
363	666	1164
364	668	1162
365	669	1159
366	670	1156
367	671	1153
368	673	1151
369	674	1148
370	675	1145
371	678	1145
372	680	1144
373	682	1142
374	684	1140
375	685	1137
376	686	1134
377	688	1132
378	689	1129
379	690	1127
380	693	1126
381	694	1123
382	695	1121
383	697	1118
384	698	1115
385	699	1113
386	700	1110
387	702	1107
388	703	1104
389	704	1102
390	708	1104
391	710	1101
392	711	1098
393	712	1096
394	714	1093
395	715	1090
396	716	1088
397	717	1085
398	718	1082
399	720	1080
400	721	1077
401	723	1076
402	725	1074
403	726	1072
404	727	1069
405	729	1066
406	730	1064
407	731	1061
408	732	1058
409	733	1056
410	735	1053
411	736	1050
412	739	1050
413	741	1049
414	743	1047
415	744	1044
416	745	1042
417	746	1039
418	747	1037
419	749	1034
420	752	1034
421	755	1034
422	756	1031
423	757	1029
424	759	1026
425	760	1024
426	761	1021
427	762	1019
428	763	1016
429	765	1014
430	766	1011
431	767	1009
432	770	1008
433	773	1008
434	774	1006
435	776	1003
436	777	1001
437	778	999
438	780	997
439	781	994
440	782	991
441	785	991
442	787	989
443	789	988
444	790	986
445	792	984
446	793	981
447	794	979
448	795	976
449	796	974
450	798	971
451	800	970
452	801	968
453	803	966
454	804	963
455	805	961
456	806	958
457	808	956
458	809	953
459	810	951
460	811	949
461	812	946
462	816	947
463	818	944
464	819	942
465	820	940
466	821	938
467	823	935
468	824	933
469	825	931
470	826	928
471	828	926
472	830	925
473	832	923
474	833	921
475	834	918
476	837	918
477	838	915
478	839	913
479	841	911
480	842	909
481	843	906
482	846	905
483	847	903
484	848	901
485	850	899
486	851	896
487	852	894
488	853	892
489	855	890
490	856	887
491	857	885
492	858	883
493	861	882
494	862	880
495	864	878
496	865	875
497	866	873
498	868	871
499	869	869
500	870	867
501	872	865
502	873	862
503	874	860
504	876	859
505	878	857
506	881	857
507	882	854
508	883	852
509	885	850
510	886	848
511	887	845
